City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,east london,-33.0153,27.9116,18.65,72,54,7.66,ZA,1699741835
111,mwanga,-4.8,38.2,22.51,95,64,0.72,TZ,1699742094
112,la sarre,48.8002,-79.1996,-4.56,92,100,0.97,CA,1699742094
113,kapuskasing,49.4169,-82.4331,-1.95,93,75,2.06,CA,1699742094
114,novyye lyady,58.0536,56.6039,1.24,93,100,1.37,RU,1699742094
115,quellon,-43.1167,-73.6167,6.81,68,87,7.4,CL,1699742095
116,anadyr,64.75,177.4833,-7.72,84,20,1.79,RU,1699742095
117,alofi,-19.0595,-169.9187,22.94,94,100,7.72,NU,1699741846
118,kedougou,12.5579,-12.1743,27.09,32,15,0.86,SN,1699742095
119,freeport,40.6576,-73.5832,10.98,55,0,6.17,US,1699742095
120,hadibu,12.65,54.0333,26.48,86,100,5.73,YE,1699742095
121,keflavik,64.0049,-22.5624,2.24,87,75,7.2,IS,1699742095
122,miringa,10.7312,12.1463,25.49,26,92,2.17,NG,1699742095
123,shingu,33.7333,135.9833,14.13,72,100,1.11,JP,1699742002
124,hell-ville,-13.4,48.2667,26.71,79,82,4.24,MG,1699742095
125,ivdel',60.6911,60.4206,2.33,91,97,1.34,RU,1699742095
126,margaret river,-33.95,115.0667,13.32,67,36,6.21,AU,1699741807
127,nar'yan-mar,67.6713,53.087,-8.83,95,18,3.13,RU,1699742095
128,port isabel,26.0734,-97.2086,16.15,91,100,7.72,US,1699742057
129,sovetsk,55.0839,21.8785,6.22,93,100,1.35,RU,1699742096
130,pisco,-13.7,-76.2167,22.03,73,0,7.72,PE,1699741829
131,kill devil hills,36.0307,-75.676,15.55,59,100,4.12,US,1699741949
132,namdrik,5.5994,168.1028,27.25,83,100,4.86,MH,1699742096
133,ribeira grande,38.5167,-28.7,20.43,95,100,8.05,PT,1699741986
134,fale old settlement,-9.3852,-171.2468,28.87,74,95,2.82,TK,1699742096
135,viransehir,37.2353,39.7631,16.49,45,100,3.4,TR,1699742096
136,rustam,27.969,68.8048,16.97,31,0,0.69,PK,1699742096
137,ghanzi,-21.5667,21.7833,27.11,25,30,3.73,BW,1699742096
138,aur,8.1499,171.1687,28.03,81,94,6.17,MH,1699742096
139,sultanpur,26.2667,82.0667,19.49,59,0,3.06,IN,1699742096
140,qamdo,31.1667,97.2333,-4.91,61,80,1.37,CN,1699742097
141,tyukhtet,56.5389,89.3011,-2.89,91,100,2.12,RU,1699742097
142,slawno,54.3628,16.6789,5.85,86,97,1.24,PL,1699742097
143,kununurra,-15.7667,128.7333,24.99,88,33,2.06,AU,1699742097
144,sinabang,2.4803,96.3801,26.02,85,100,1.98,ID,1699742097
145,wotho,10.1657,166.0102,27.67,79,99,6.9,MH,1699742097
146,ust-nera,64.5667,143.2,-33.56,98,73,1.58,RU,1699742097
147,marquette,46.5333,-87.6335,2.12,91,99,1.82,US,1699742097
148,baardheere,2.3446,42.2764,25.72,84,96,5.65,SO,1699742097
149,port hedland,-20.3167,118.5667,23.03,88,1,2.57,AU,1699742097
150,kokstad,-30.5472,29.4241,13.73,96,99,1.43,ZA,1699742097
151,yakeshi,49.2833,120.7333,-25.4,100,94,1.89,CN,1699742097
152,rolla,37.9514,-91.7713,15.08,30,0,1.54,US,1699742097
153,papao,-17.75,-149.55,30.82,76,60,5.56,PF,1699742098
154,jesus de otoro,14.4833,-87.9833,27.81,97,63,1.49,HN,1699742098
155,cowra,-33.8333,148.6833,29.04,35,70,4.64,AU,1699742098
156,island harbour,50.724,-1.2758,10.57,87,100,5.36,GB,1699742098
157,tchaourou,8.8865,2.5975,26.61,59,20,2.24,BJ,1699742098
158,kievka,50.2619,71.5514,6.1,79,100,5.14,KZ,1699742098
159,izberbash,42.5696,47.8645,15.05,80,18,1.52,RU,1699742098
160,al bawiti,28.3492,28.8659,20.64,62,92,1.07,EG,1699742098
161,buta,2.7858,24.73,21.08,99,96,0.28,CD,1699742098
162,bac lieu,9.285,105.7244,27.11,82,87,5.48,VN,1699742098
163,morigaon,26.3796,92.3415,18.35,88,0,1.91,IN,1699742098
164,harnai,30.1005,67.9374,14.87,31,65,1.23,PK,1699742098
165,olyokminsk,60.3736,120.4264,-7.38,74,100,5.62,RU,1699742098
166,mount pearl,47.5166,-52.7813,2.3,94,100,8.75,CA,1699742096
167,nouadhibou,20.931,-17.0347,22.99,64,30,5.14,MR,1699742099
168,shetpe,44.1667,52.1167,6.18,64,14,3.23,KZ,1699742099
169,alta sierra,35.7291,-118.5495,14.33,18,7,1.36,US,1699742099
170,hami,42.8,93.45,3.75,27,100,2.22,CN,1699742099
171,susuman,62.7833,148.1667,-33.58,99,81,0.12,RU,1699742031
172,tazovsky,67.4667,78.7,-4.39,96,100,5.32,RU,1699742099
